log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,trking_id,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,trking_id,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,trking_id,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,trking_id,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,trking_id,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,sent_cnt,,dw_ecare_cmc_rcncy_summ,com_sent_count,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,sent_cnt,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,sent_cnt,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,sent_cnt,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,sent_cnt,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,sent_cnt,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,undlvrable_cnt,,dw_ecare_cmc_rcncy_summ,undlvrable_count,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,undlvrable_cnt,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,undlvrable_cnt,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,undlvrable_cnt,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,undlvrable_cnt,,email_campaigns,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,undlvrable_cnt,,dw_ecare_cmc_rcncy_summ,rcncy_id,where,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,open_imp_cnt,,dw_ecare_cmc_rcncy_summ,com_open_count,select,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,open_imp_cnt,,dw_cal_dt,cal_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,open_imp_cnt,,email_campaigns,cmpgn_sent_dt,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,open_imp_cnt,,dw_ecare_cmc_rcncy_summ,instnc_id,join,
2016-06-27,163146895250551351,P_EU_XCHAN_T,TRAFFIC_MKT,open_imp_cnt,,email_campaigns,instnc_id,join,
